id,first_name,last_name,email,department,salary,hire_date,is_active
1,John,Doe,j.doe@company.com,Engineering,85000,2022-03-15,true
2,Jane,Smith,jane.s@company.com,Marketing,72000,2021-11-10,true
3,Michael,Brown,m.brown@company.com,Sales,65000,2023-01-05,false
4,Emily,Davis,emily.d@company.com,Engineering,91000,2020-06-20,true
5,Robert,Wilson,r.wilson@company.com,HR,58000,2022-09-12,true
6,Sarah,Johnson,s.johnson@company.com,Marketing,74500,2021-02-28,true
7,David,Miller,d.miller@company.com,Engineering,88000,2023-05-14,true
8,James,Anderson,j.anderson@company.com,Sales,61000,2022-12-01,false
9,Patricia,Thomas,p.thomas@company.com,Engineering,95000,2019-10-30,true
10,Linda,Moore,l.moore@company.com,HR,62000,2021-07-18,true
11,Christopher,Taylor,c.taylor@company.com,Marketing,71000,2023-08-22,true
12,Barbara,Anderson,b.anderson@company.com,Sales,68000,2020-11-05,true
13,Matthew,White,m.white@company.com,Engineering,82000,2022-04-12,true
14,Jennifer,Harris,j.harris@company.com,Marketing,73000,2021-09-30,true
15,Daniel,Martin,d.martin@company.com,Sales,64000,2023-02-15,false
